,읍면동명,연령대,업종명,1인당 이용금액
23,삼양일동,성인,소매업,1359353.3798882682
24,상예동,성인,소매업,133570.37037037036
25,상효동,성인,소매업,122047.85992217899
26,색달동,성인,소매업,364102.32954545453
27,서귀동,성인,소매업,4326886.047149895
28,서호동,성인,소매업,473630.6886227545
29,서홍동,성인,소매업,237260.62234794907
30,성산읍,성인,소매업,1820234.5735849056
31,신효동,성인,소매업,338568.4745762712
32,아라이동,성인,소매업,631776.5508885299
33,아라일동,성인,소매업,1418084.9211764706
34,안덕면,성인,소매업,762466.892801252
35,애월읍,성인,소매업,1229672.0987841946
36,연동,성인,소매업,2765587.882486732
37,영평동,성인,소매업,338172.2165898617
38,오등동,성인,소매업,388371.0167785235
39,오라삼동,성인,소매업,447177.19269776874
40,오라이동,성인,소매업,821730.4350104822
41,오라일동,성인,소매업,669144.5901639344
42,외도이동,성인,소매업,57714.28571428572
43,외도일동,성인,소매업,1269086.6051227322
44,용강동,성인,소매업,216517.54385964913
45,용담삼동,성인,소매업,886594.1734939759
46,용담이동,성인,소매업,3139701.5708692246
47,용담일동,성인,소매업,1253676.1548387096
48,우도면,성인,소매업,337448.3944353519
49,월평동,성인,소매업,126306.35838150288
50,이도이동,성인,소매업,2822847.8488964345
51,이도일동,성인,소매업,2658306.1644787644
52,이호이동,성인,소매업,261392.21014492755
53,이호일동,성인,소매업,218808.8137651822
54,일도이동,성인,소매업,2084090.1988795518
55,일도일동,성인,소매업,3940849.7049300955
56,조천읍,성인,소매업,1277948.8701195219
57,중문동,성인,소매업,636045.3391933816
58,추자면,성인,소매업,266630.34129692835
59,토평동,성인,소매업,739519.5063985374
60,표선면,성인,소매업,1914655.469961977
61,하예동,성인,소매업,233329.26829268291
62,하원동,성인,소매업,171880.95238095237
63,하효동,성인,소매업,355180.70796460175
64,한경면,성인,소매업,389785.0023201856
65,한림읍,성인,소매업,1379417.3545663853
66,해안동,성인,소매업,125604.80733944954
67,호근동,성인,소매업,1359503.9603960395
68,화북이동,성인,소매업,905878.9037162162
69,화북일동,성인,소매업,1094605.201980198
70,회수동,성인,소매업,709986.8483412323
71,회천동,성인,소매업,203629.8076923077
0,강정동,노인,소매업,1522623.489010989
1,건입동,노인,소매업,703752.8544
2,구좌읍,노인,소매업,274748.11836734693
3,남원읍,노인,소매업,627490.3887973641
4,내도동,노인,소매업,89354.16666666667
5,노형동,노인,소매업,1766428.3977900553
6,대정읍,노인,소매업,557489.9112676056
7,대포동,노인,소매업,88663.63636363637
8,도남동,노인,소매업,2446092.6544
9,도두이동,노인,소매업,1649364.4444444445
10,도두일동,노인,소매업,405986.37566137564
11,도련이동,노인,소매업,258765.58659217876
12,도련일동,노인,소매업,146952.58720930232
13,도순동,노인,소매업,228611.2037037037
14,도평동,노인,소매업,88700.0
15,동홍동,노인,소매업,617650.026272578
16,법환동,노인,소매업,246586.56140350876
17,보목동,노인,소매업,189320.22471910113
18,봉개동,노인,소매업,135106.6349809886
19,삼도이동,노인,소매업,362778.9051724138
20,삼도일동,노인,소매업,1053848.5393258426
21,삼양삼동,노인,소매업,133474.1379310345
22,삼양이동,노인,소매업,216806.7546583851
23,삼양일동,노인,소매업,1287099.0066225166
24,상예동,노인,소매업,92345.3125
25,상효동,노인,소매업,85342.52873563218
26,색달동,노인,소매업,187793.2729468599
27,서귀동,노인,소매업,2610093.7147887326
28,서호동,노인,소매업,282481.22257053293
29,서홍동,노인,소매업,173255.1948051948
30,성산읍,노인,소매업,609105.2704402516
31,신효동,노인,소매업,169112.5701754386
32,아라이동,노인,소매업,240899.8312236287
33,아라일동,노인,소매업,660326.8505747126
34,안덕면,노인,소매업,237536.4516129032
35,애월읍,노인,소매업,350556.3888091822
36,연동,노인,소매업,1078202.8800521512
37,영평동,노인,소매업,164811.0
38,오등동,노인,소매업,351099.63125
39,오라삼동,노인,소매업,355968.0104712042
40,오라이동,노인,소매업,959285.5560538117
41,오라일동,노인,소매업,540530.0
42,외도이동,노인,소매업,74200.0
43,외도일동,노인,소매업,868602.3828451883
44,용강동,노인,소매업,111531.91489361702
45,용담삼동,노인,소매업,954697.9954441914
46,용담이동,노인,소매업,1217672.0532623169
47,용담일동,노인,소매업,1123813.5045045046
48,우도면,노인,소매업,97758.14814814815
49,월평동,노인,소매업,74680.85106382979
50,이도이동,노인,소매업,1240379.0268656716
51,이도일동,노인,소매업,2448134.6829931973
52,이호이동,노인,소매업,190117.43609022556
53,이호일동,노인,소매업,174695.182320442
54,일도이동,노인,소매업,1281595.1382636656
55,일도일동,노인,소매업,1822330.5608465609
56,조천읍,노인,소매업,670175.5178571428
57,중문동,노인,소매업,341570.10365853657
58,추자면,노인,소매업,316419.8395721925
59,토평동,노인,소매업,604975.1903114187
60,표선면,노인,소매업,2142027.1848523747
61,하예동,노인,소매업,94385.41666666667
62,하원동,노인,소매업,181372.54901960783
63,하효동,노인,소매업,180293.3673469388
64,한경면,노인,소매업,190029.3772609819
65,한림읍,노인,소매업,887624.9771505377
66,해안동,노인,소매업,101013.77192982456
67,호근동,노인,소매업,3028098.8802083335
68,화북이동,노인,소매업,1641839.9321533924
69,화북일동,노인,소매업,709314.1277372263
70,회수동,노인,소매업,3300080.31496063
71,회천동,노인,소매업,1481152.1739130435
