,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,점포당이용자수
15,송산동,1087616,39204891377,음식,152,257926916.95394737,7155.368421052632
32,정방동,684580,24555916274,음식,143,171719694.22377622,4787.272727272727
35,중앙동,684580,24555916274,음식,155,158425266.28387097,4416.645161290323
36,천지동,816266,28003399387,음식,220,127288179.03181818,3710.3
25,용담2동,576652,14969147221,음식,279,53652857.42293907,2066.853046594982
22,오라동,288426,8720145742,음식,148,58919903.66216216,1948.8243243243244
16,아라동,800117,24975055509,음식,454,55011135.482378855,1762.3722466960353
3,노형동,1505234,51892607922,음식,861,60270160.18815331,1748.239256678281
28,이도2동,1471450,46886500716,음식,981,47794598.0795107,1499.9490316004078
0,건입동,235379,8326356158,음식,159,52367019.86163522,1480.3710691823899
12,삼양동,338774,9364047883,음식,232,40362275.35775862,1460.2327586206898
31,일도2동,507779,16262919821,음식,373,43600321.23592493,1361.3378016085792
20,영천동,103484,3713270037,음식,77,48224286.1948052,1343.948051948052
13,서홍동,131686,3447483113,음식,98,35178399.1122449,1343.734693877551
19,연동,1239538,52262882930,음식,1062,49211754.17137477,1167.1732580037665
6,대천동,238757,6863190482,음식,205,33478977.96097561,1164.668292682927
41,화북동,258470,7824392096,음식,229,34167651.074235804,1128.6899563318777
21,예래동,265638,12613979914,음식,241,52340165.61825726,1102.2323651452282
8,동홍동,308887,11297287404,음식,284,39779181.0,1087.630281690141
23,외도동,324592,10154518317,음식,302,33624232.83774834,1074.8079470198675
30,일도1동,190336,4798301241,음식,180,26657229.116666667,1057.4222222222222
11,삼도2동,219932,8050837626,음식,215,37445756.4,1022.939534883721
34,중문동,276478,11772691013,음식,281,41895697.55516014,983.9074733096086
42,효돈동,87773,2497370120,음식,91,27443627.69230769,964.5384615384615
9,봉개동,68471,1993691220,음식,71,28080158.028169014,964.3802816901408
4,대륜동,280970,8921240742,음식,295,30241494.040677965,952.4406779661017
18,애월읍,787250,26992281558,음식,843,32019313.829181496,933.8671411625148
7,도두동,151815,6297049734,음식,177,35576552.16949152,857.7118644067797
33,조천읍,564229,19458786956,음식,673,28913502.16344725,838.3789004457652
10,삼도1동,141186,4604730225,음식,181,25440498.480662983,780.0331491712707
5,대정읍,376799,14847802229,음식,502,29577295.27689243,750.5956175298804
14,성산읍,454499,17177623139,음식,609,28206277.73234811,746.303776683087
29,이호동,51433,2185072494,음식,70,31215321.34285714,734.7571428571429
40,한림읍,511357,19469817034,음식,724,26892012.477900557,706.2941988950276
27,이도1동,160517,5016874855,음식,234,21439636.132478632,685.9700854700855
17,안덕면,339291,14559922680,음식,521,27946108.790786948,651.2303262955854
1,구좌읍,444206,14075039261,음식,693,20310301.963924963,640.989898989899
24,용담1동,96194,4583767849,음식,165,27780411.206060607,582.9939393939394
26,우도면,102570,2695144599,음식,183,14727566.114754098,560.4918032786885
38,표선면,230240,9667801841,음식,425,22747769.037647057,541.7411764705882
2,남원읍,202722,7533086862,음식,380,19823912.794736844,533.478947368421
39,한경면,146761,5329274910,음식,300,17764249.7,489.2033333333333
37,추자면,14303,800833103,음식,48,16684022.979166666,297.9791666666667
